Time,price,volume
2024-01-26 00:00:00 UTC,41403.4730307316,1128854533.37075
2024-01-27 00:00:00 UTC,42247.5031619972,232095249.448637
2024-01-28 00:00:00 UTC,42650.9316771246,314003582.429661
2024-01-29 00:00:00 UTC,42857.2321068845,745437170.322463
2024-01-30 00:00:00 UTC,43807.2425686044,938468707.377244
2024-01-31 00:00:00 UTC,43306.8153531016,937107047.20806
2024-02-01 00:00:00 UTC,42910.2700664375,681130730.991358
2024-02-02 00:00:00 UTC,43452.7870143349,728358987.431879
2024-02-03 00:00:00 UTC,43502.3954155887,165738713.010274
2024-02-04 00:00:00 UTC,43250.5726773533,201796691.991859
2024-02-05 00:00:00 UTC,43183.9307850201,578903537.485002
2024-02-06 00:00:00 UTC,43356.3569454224,513577363.644676
2024-02-07 00:00:00 UTC,43703.9787494157,829518416.460262
2024-02-08 00:00:00 UTC,45257.069135992,1235234298.19183
2024-02-09 00:00:00 UTC,47117.3678642218,1549657983.9172
2024-02-10 00:00:00 UTC,47680.2262290218,416544305.905008
2024-02-11 00:00:00 UTC,48385.1702498959,430543871.298583
2024-02-12 00:00:00 UTC,48978.8127540423,1442119041.50458
2024-02-13 00:00:00 UTC,49743.8164656181,1364270725.53682
2024-02-14 00:00:00 UTC,50979.1197238776,1470620228.13286
2024-02-15 00:00:00 UTC,52106.4429495813,1344253843.27784
2024-02-16 00:00:00 UTC,52054.4602154312,965523965.695
2024-02-17 00:00:00 UTC,51615.8421118125,447913819.101637
2024-02-18 00:00:00 UTC,51769.5723402555,338486009.762533
2024-02-19 00:00:00 UTC,52137.9905042801,477244835.348619
2024-02-20 00:00:00 UTC,51877.5304701302,1207200870.85665
2024-02-21 00:00:00 UTC,51525.4632008611,1014723268.99809
2024-02-22 00:00:00 UTC,51621.8161869256,943254490.85556
2024-02-23 00:00:00 UTC,51168.497607614,809657621.841921
2024-02-24 00:00:00 UTC,51311.8284063737,278733911.645619
